# PRIME INSTRUMENT FILE --- M12X---!! HEAD !!---M13B---;;;;;;;;;
number of headers ;19;;;;;;;;
operator;Jan Petter Maehlen;;;;;;;;
date;01.01.2016;;;;;;;;
instrument;bobby;;;;;;;;
schedule;galvanic;;;;;;;;
cell;ee002;;;;;;;;
geometry;half-cell;;;;;;;;
counter;Li-metal;;;;;;;;
material;si-based;;;;;;;;
mass;0.0012;;;;;;;;
# PRIME INSTRUMENT FILE ---L01---''LOG'' ---0000000-;;;;;;;;;
15;Started collecting auxilary data (saved to output.log);;;;;;;;
773;Problem encountered - reloading config;;;;;;;;
1111;R12;;;;;;;;
6588;R12;;;;;;;;
7712;Problem encountered - reloading config;;;;;;;;
78999;R0;;;;;;;;
# PRIME INSTRUMENT FILE ---268876-;;;;;;;;;
index;test_time;step_time;date_stamp;step;cycle;current;voltage;charge_capacity;discharge_Capacity
0;120.00;120.00;43374.42;1;1;0.00;1.14;0.00;0.00
1;240.00;240.00;43374.42;1;1;0.00;1.14;0.00;0.00
2;360.00;360.00;43374.42;1;1;0.00;1.14;0.00;0.00
3;480.00;480.00;43374.42;1;1;0.00;1.14;0.00;0.00
4;600.01;600.01;43374.42;1;1;0.00;1.14;0.00;0.00
5;720.01;720.01;43374.42;1;1;0.00;1.14;0.00;0.00
6;840.01;840.01;43374.42;1;1;0.00;1.14;0.00;0.00
7;960.01;960.01;43374.43;1;1;0.00;1.14;0.00;0.00
8;1080.01;1080.01;43374.43;1;1;0.00;1.14;0.00;0.00
9;1200.01;1200.01;43374.43;1;1;0.00;1.14;0.00;0.00
10;1320.01;1320.01;43374.43;1;1;0.00;1.14;0.00;0.00
11;1440.02;1440.02;43374.43;1;1;0.00;1.14;0.00;0.00
12;1560.02;1560.02;43374.43;1;1;0.00;1.14;0.00;0.00
13;1680.02;1680.02;43374.43;1;1;0.00;1.14;0.00;0.00
14;1800.02;1800.02;43374.43;1;1;0.00;1.14;0.00;0.00
15;1920.02;1920.02;43374.44;1;1;0.00;1.14;0.00;0.00
16;2040.03;2040.03;43374.44;1;1;0.00;1.14;0.00;0.00
17;2160.03;2160.03;43374.44;1;1;0.00;1.14;0.00;0.00
18;2280.03;2280.03;43374.44;1;1;0.00;1.14;0.00;0.00
19;2400.03;2400.03;43374.44;1;1;0.00;1.14;0.00;0.00
20;2520.03;2520.03;43374.44;1;1;0.00;1.14;0.00;0.00
21;2640.04;2640.04;43374.44;1;1;0.00;1.14;0.00;0.00
22;2760.04;2760.04;43374.45;1;1;0.00;1.14;0.00;0.00
23;2880.04;2880.04;43374.45;1;1;0.00;1.14;0.00;0.00
24;3000.04;3000.04;43374.45;1;1;0.00;1.14;0.00;0.00
25;3120.04;3120.04;43374.45;1;1;0.00;1.14;0.00;0.00
26;3240.04;3240.04;43374.45;1;1;0.00;1.14;0.00;0.00
27;3360.04;3360.04;43374.45;1;1;0.00;1.14;0.00;0.00
28;3480.04;3480.04;43374.45;1;1;0.00;1.14;0.00;0.00
29;3600.00;3600.00;43374.46;1;1;0.00;1.14;0.00;0.00
30;3600.10;0.01;43374.46;2;1;0.00;1.20;0.00;0.00
31;3600.11;0.02;43374.46;2;1;0.00;1.21;0.00;0.00
32;3600.13;0.03;43374.46;2;1;0.00;1.22;0.00;0.00
33;3600.14;0.05;43374.46;2;1;0.00;1.24;0.00;0.00
34;3600.16;0.07;43374.46;2;1;0.00;1.25;0.00;0.00
35;3600.18;0.09;43374.46;2;1;0.00;1.26;0.00;0.00
36;3600.19;0.09;43374.46;2;1;0.00;1.27;0.00;0.00
37;3600.20;0.11;43374.46;2;1;0.00;1.29;0.00;0.00
38;3600.21;0.12;43374.46;2;1;0.00;1.30;0.00;0.00
39;3600.22;0.13;43374.46;2;1;0.00;1.31;0.00;0.00
40;3600.23;0.14;43374.46;2;1;0.00;1.33;0.00;0.00
41;3600.24;0.15;43374.46;2;1;0.00;1.34;0.00;0.00
42;3600.26;0.17;43374.46;2;1;0.00;1.35;0.00;0.00
43;3600.28;0.19;43374.46;2;1;0.00;1.36;0.00;0.00
44;3600.29;0.20;43374.46;2;1;0.00;1.37;0.00;0.00
45;3600.31;0.22;43374.46;2;1;0.00;1.38;0.00;0.00
46;3600.33;0.24;43374.46;2;1;0.00;1.40;0.00;0.00
47;3600.35;0.26;43374.46;2;1;0.00;1.41;0.00;0.00
48;3600.38;0.29;43374.46;2;1;0.00;1.42;0.00;0.00
49;3600.40;0.31;43374.46;2;1;0.00;1.43;0.00;0.00
50;3600.44;0.34;43374.46;2;1;0.00;1.44;0.00;0.00
51;3600.47;0.38;43374.46;2;1;0.00;1.45;0.00;0.00
52;3600.50;0.41;43374.46;2;1;0.00;1.46;0.00;0.00
53;3600.55;0.46;43374.46;2;1;0.00;1.47;0.00;0.00
54;3600.60;0.51;43374.46;2;1;0.00;1.48;0.00;0.00
55;3600.66;0.57;43374.46;2;1;0.00;1.49;0.00;0.00
56;3600.72;0.63;43374.46;2;1;0.00;1.50;0.00;0.00
57;3600.79;0.69;43374.46;2;1;0.00;1.51;0.00;0.00
58;3600.86;0.77;43374.46;2;1;0.00;1.53;0.00;0.00
59;3600.96;0.86;43374.46;2
